,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,price_binned
0,922067.0,166060.0,4.0,1,1.0,14.0,59.0,4.5,1.0,1671787.0,42.0,4.5,1.0,0.0,0.0,4
1,618002.0,126865.0,1.0,1,1.0,15.0,59.0,4.6,0.0,0.0,0.0,0,0.0,0.0,0.0,4
2,570308.0,119395.0,2.0,1,1.0,16.0,91.0,4.5,1.0,727304.0,3.0,4.6,1.0,0.0,0.0,4
3,249326.0,49393.0,3.0,1,1.0,15.0,59.0,4.5,1.0,2318090.0,148.0,4.6,1.0,0.0,0.0,4
4,349233.0,42086.0,4.0,1,1.0,12.0,59.0,4.5,1.0,1671787.0,42.0,4.5,0.0,0.0,0.0,4
5,166843.0,36078.0,2.0,1,1.0,16.0,91.0,4.5,1.0,727304.0,3.0,4.6,1.0,0.0,0.0,4
6,210728.0,32839.0,3.0,1,1.0,10.0,59.0,4.5,1.0,2318090.0,148.0,4.6,1.0,0.0,0.0,4
7,172722.0,28498.0,3.0,1,1.0,12.0,33.0,4.5,1.0,636593.0,26.0,4.6,0.0,0.0,0.0,1
8,151395.0,25590.0,3.0,1,1.0,7.0,59.0,4.5,1.0,2318090.0,148.0,4.6,1.0,0.0,0.0,4
9,196457.0,22530.0,6.0,1,1.0,16.0,42.0,4.5,1.0,2310664.0,59.0,4.5,1.0,0.0,0.0,4
10,113288.0,20827.0,1.0,1,1.0,16.0,59.0,4.6,0.0,0.0,0.0,0,0.0,0.0,0.0,4
11,177816.0,18806.0,1.0,1,1.0,26.0,7.0,4.7,0.0,0.0,0.0,0,1.0,1.0,0.0,1
12,93696.0,16608.0,1.0,1,1.0,13.0,59.0,4.6,0.0,0.0,0.0,0,0.0,0.0,0.0,4
13,89690.0,16541.0,3.0,1,1.0,10.0,33.0,4.5,1.0,636593.0,26.0,4.6,1.0,0.0,0.0,1
14,87633.0,15754.0,1.0,1,1.0,16.0,59.0,4.6,0.0,0.0,0.0,0,1.0,0.0,0.0,4
15,86890.0,14346.0,3.0,1,1.0,12.0,33.0,4.5,1.0,636593.0,26.0,4.6,0.0,0.0,0.0,1
16,66691.0,12955.0,1.0,1,1.0,14.0,59.0,4.6,0.0,0.0,0.0,0,1.0,0.0,0.0,4
17,58709.0,12645.0,1.0,1,1.0,7.0,2.0,4.5,0.0,0.0,0.0,0,1.0,0.0,0.0,3
18,43910.0,11399.0,1.0,1,1.0,5.0,32.0,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0,3
19,84168.0,11076.0,1.0,1,1.0,15.0,59.0,4.6,0.0,0.0,0.0,0,0.0,1.0,0.0,4
20,58425.0,10407.0,3.0,1,1.0,10.0,59.0,4.5,1.0,2318090.0,148.0,4.6,1.0,0.0,0.0,4
21,43413.0,9537.0,2.0,1,1.0,6.0,16.0,4.7,1.0,522205.0,32.0,4.7,0.0,0.0,0.0,3
22,52293.0,8814.0,1.0,1,1.0,3.0,32.0,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0,3
23,41913.0,8642.0,2.0,1,1.0,1.0,32.0,4.7,1.0,185342.0,16.0,4.7,0.0,0.0,0.0,4
24,58475.0,8312.0,3.0,1,1.0,10.0,59.0,4.5,1.0,2318090.0,148.0,4.6,1.0,0.0,0.0,4
25,44214.0,8105.0,1.0,1,1.0,1.0,59.0,4.6,0.0,0.0,0.0,0,0.0,0.0,0.0,3
26,41358.0,8057.0,2.0,1,1.0,1.0,49.0,4.5,1.0,868389.0,42.0,4.5,1.0,0.0,1.0,2
27,43305.0,7240.0,1.0,1,1.0,7.0,32.0,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0,3
28,42839.0,7042.0,1.0,1,1.0,1.0,59.0,4.6,0.0,0.0,0.0,0,1.0,0.0,0.0,4
29,46350.0,6398.0,4.0,1,1.0,11.0,42.0,4.5,1.0,2310664.0,59.0,4.5,1.0,0.0,0.0,4
30,33699.0,5891.0,1.0,1,1.0,4.0,32.0,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0,4
31,30820.0,5876.0,1.0,1,1.0,8.0,59.0,4.6,0.0,0.0,0.0,0,1.0,0.0,0.0,3
32,33452.0,5841.0,3.0,1,1.0,3.0,80.0,4.5,1.0,70511.0,1.0,4.3,0.0,0.0,0.0,4
33,31185.0,5754.0,1.0,1,1.0,1.0,32.0,4.7,0.0,0.0,0.0,0,1.0,0.0,0.0,4
34,32739.0,5281.0,1.0,1,1.0,7.0,32.0,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0,4
35,28293.0,5248.0,1.0,1,1.0,7.0,32.0,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0,3
36,30493.0,5166.0,1.0,1,1.0,8.0,59.0,4.6,0.0,0.0,0.0,0,0.0,0.0,0.0,2
37,358274.0,5093.0,1.0,1,1.0,1.0,53.0,4.5,0.0,0.0,0.0,0,1.0,0.0,0.0,2
38,42857.0,5088.0,2.0,1,1.0,1.0,1.0,4.6,1.0,1925467.0,9.0,4.7,0.0,1.0,0.0,4
39,34153.0,5103.0,1.0,1,1.0,7.0,32.0,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0,4
40,29000.0,4964.0,4.0,1,1.0,6.0,59.0,4.5,1.0,70741.0,4.0,4.5,1.0,0.0,0.0,4
41,21280.0,4944.0,1.0,1,1.0,1.0,38.0,4.6,0.0,0.0,0.0,0,1.0,0.0,0.0,3
42,36412.0,4894.0,2.0,1,1.0,5.0,16.0,4.7,1.0,522205.0,32.0,4.7,0.0,0.0,0.0,2
43,28011.0,4929.0,2.0,1,1.0,7.0,12.0,4.6,1.0,86568.0,12.0,4.6,1.0,0.0,0.0,1
44,18679.0,4672.0,4.0,1,1.0,1.0,59.0,4.5,1.0,1671787.0,42.0,4.5,0.0,0.0,0.0,3
45,24668.0,4643.0,2.0,1,1.0,3.0,16.0,4.7,1.0,522205.0,32.0,4.7,0.0,0.0,0.0,2
46,28841.0,4474.0,2.0,1,1.0,1.0,7.0,4.6,1.0,30418.0,2.0,4.4,1.0,0.0,0.0,2
47,25594.0,4423.0,2.0,1,1.0,1.0,91.0,4.5,1.0,196227.0,1.0,4.5,1.0,0.0,0.0,4
48,32033.0,4255.0,1.0,1,1.0,6.0,32.0,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0,4
49,103738.0,4128.0,3.0,1,1.0,3.0,2.0,4.6,1.0,2318090.0,148.0,4.6,0.0,0.0,0.0,4
50,96929.0,4072.0,2.0,1,1.0,1.0,46.0,4.5,1.0,518857.0,71.0,4.5,0.0,0.0,0.0,3
51,28440.0,3865.0,1.0,1,1.0,3.0,32.0,4.7,0.0,0.0,0.0,0,1.0,0.0,0.0,4
52,24932.0,3792.0,1.0,1,1.0,1.0,59.0,4.6,0.0,0.0,0.0,0,1.0,0.0,0.0,4
