,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
0,Data Science Kurs mit Excel,161,16,1,7.2019,German,1,1,349.90,1,9,46,3h 33m,Michael Meraner,490,3,4.0,null,null,null,null,0,0,0,3.9
1,Машинное обучение: регрессия и предсказание данных на Python,154,16,1,6.2021,Russian,1,0,349.90,1,8,37,7h 17m,Центр digital-профессий ITtensive,"2,264",22,4.0,null,null,null,null,1,0,0,4.0
2,Mathematics for Machine Learning & Data Science | Arabic,"2,838",16,1,8.2022,Arabic,1,0,69.90,1,3,8,5h 51m,Mohammed Agoor,"9,520",4,4.5,null,null,null,null,0,0,0,4.7
3,Python pour la Data Science et le Machine Learning: A à Z,"3,238",18,1,1.2023,French,1,1,209.90,1,15,153,4h 19m,Meta Brains,"339,861",32,4.2,null,null,null,null,0,0,0,4.4
4,Visualização da Dados Python e R: Data Science na Prática,270,16,2,3.2020,Portuguese,1,1,329.90,1,3,36,5h 54m,MSc Grimaldo Lopes | + 45.000 alunos de Oliveira,"46,770",165,4.4,"Diego Mariano, Ph.D.","701,751",36,4.6,0,0,0,4.2
5,Машинное обучение на Python. Метод линейной регрессии,86,16,2,10.2018,Russian,1,0,123.90,1,1,8,1h 34m,"Группа преподавателей Центра ""Специалист"" при МГТУ им. Баумана",766,9,4.2,Владислав Перлин,201,3,4.1,0,0,0,3.9
6,【한글자막】 스파크 스트리밍과 Scala 로 빅 데이터 스트리밍하기 (실전편),105,16,4,1.2022,Korean,1,1,329.90,1,9,37,6h 25m,Sundog Education by Frank Kane,"677,324",33,4.6,Frank Kane,"626,424",26,4.6,0,0,0,5.0
7,الذكاء الاصطناعي,49,16,1,6.2021,Arabic,1,0,105.90,1,8,24,6h 5m,BRADFORD-JO Academy,481,42,4.7,null,null,null,null,0,0,0,4.4
8,Prática Guiada - Titanic no Kaggle,97,16,1,10.2020,Portuguese,1,1,199.90,1,5,10,1h 19m,TecMorpheus Hypnos,750,3,4.6,null,null,null,null,0,0,0,4.6
9,Prédiction des séries temporelles en deep learning - Partie1,152,15,1,8.2021,French,1,1,429.90,1,6,58,7h 17m,Alexandre Bourrieau,565,10,4.6,null,null,null,null,0,0,0,4.7
10,Welcome2KI Teil 3: KI Deep Learning Projekte selbst umsetzen,131,15,1,5.2021,German,1,1,179.90,1,10,69,7h 49m,Bernhard Mayr,477,10,4.0,null,null,null,null,1,1,0,4.7
11,Python: Visualización de Datos con Matplotlib (Básico),"1,727",15,1,6.2022,Spanish,1,1,69.90,1,1,10,49m total,Camilo Medina,"9,920",8,4.4,null,null,null,null,0,0,0,3.9
12,習うより慣れよう Visual AI さわって覚える人工知能「ディープラーニング編」,162,15,1,8.2022,Japanese,1,1,69.90,1,6,47,2h 33m,内山 充康,"3,033",9,3.9,null,null,null,null,0,0,0,3.9
13,Kaggle - Veri Bilimi Alanında Daha İyi Bir Profil Oluşturun,71,15,1,1.2023,Turkish,1,0,699.90,1,8,19,2h 55m,Oak Academy,"275,374",256,4.5,null,null,null,null,1,0,0,5.0
14,Dashboard Analítico Passo-a-Passo em STREAMLIT e PYTHON,60,18,1,10.2022,Portuguese,1,1,69.90,1,8,41,4h 15m,Luiz Fabiano de Souza,"1,316",7,4.6,null,null,null,null,0,0,0,4.7
15,Introducción a los Algoritmos Heurísticos,163,14,1,4.2019,Spanish,1,0,209.90,1,9,32,1h 18m,Carlos Antonio Macías Duarte,"3,631",2,4.4,null,null,null,null,0,0,0,4.4
16,"Python w Data Science - NumPy, Pandas & Scikit-Learn",342,14,1,8.2022,Polish,1,0,69.90,1,42,362,1h 34m,Paweł Krakowiak,"247,964",86,4.5,null,null,null,null,0,1,0,5.0
17,Python-深度学习-物体检测实战,124,14,1,1.2020,Simplified Chinese,2,0,179.90,1,6,41,6h 24m,唐宇迪 唐,"4,022",24,4.4,null,null,null,null,0,0,0,3.9
18,强化学习实战系列(PyTorch版),149,14,1,9.2020,Simplified Chinese,2,0,179.90,1,11,89,10h 28m,唐宇迪 唐,"4,022",24,4.4,null,null,null,null,0,0,0,4.4
19,Data Mining without coding ~ Visual Programing ~ Orange3,76,14,1,12.2022,Traditional Chinese,2,0,89.90,1,5,14,4h 58m,Squall Wu,76,1,4.6,null,null,null,null,0,0,0,4.6
20,Google Data Studio. Анализ данных. Data Visualization.,65,14,1,11.2022,Russian,1,0,349.90,1,5,27,53m total,Andrew Borysenko,"25,816",41,3.3,null,null,null,null,0,0,0,3.3
21,Gerando Arquivos PDF com Python e ReportLab 2023,433,14,1,8.2021,Portuguese,1,1,69.90,1,1,6,1h 51m,Hugo Ferro,"1,371",10,4.7,null,null,null,null,0,0,0,4.9
22,Fundamentos de MLOps (Machine Learning Operations) Hands On,32,13,1,11.2022,Spanish,1,1,69.90,1,10,31,2h 31m,Data Bootcamp,"9,867",28,4.2,null,null,null,null,0,0,0,3.6
23,六小時學會資料科學,84,13,1,8.2021,Traditional Chinese,2,0,209.90,1,7,26,6h 44m,Cheng-Yuan Ho,283,6,4.2,null,null,null,null,0,0,0,3.9
24,【한글자막】 현대 인공지능 (AI) 마스터 클래스 : 6개의 프로젝트 구축하기,288,13,5,12.2021,Korean,1,1,349.90,1,8,90,15h 47m,"Dr. Ryan Ahmed, Ph.D., MBA","319,896",46,4.5,Ligency I Team,"2,287,209",148,4.6,0,0,0,5.0
25,Pack Complet data Analyse avec Excel & Python 2023,108,14,2,1.2023,French,1,1,249.90,1,6,139,11h 18m,Ing.Seif | Europe Innovation,"13,836",19,4.4,Dr. Firas | Europe Innovation,"27,761",44,4.4,1,0,0,4.0
26,Visualização de dados com Python,96,14,1,3.2022,Portuguese,1,1,69.90,0,7,126,10h 16m,Beta Analítica,96,1,5.0,null,null,null,null,0,0,0,5.0
27,Dijital İşletmeniz İçin Potansiyel Müşterilerinizi Bulun A-Z,"1,034",13,1,2.2022,Turkish,1,0,105.90,1,5,12,1h 17m,Onur Erdoğan,"8,402",3,4.5,null,null,null,null,0,0,0,4.1
28,Linguagem R e Shiny R: Caminho de GRANDES INSIGHTS nos Dados,380,12,2,6.2020,Portuguese,1,1,329.90,1,2,46,8h 2m,Juracy Araujo de Almeida Junior,"10,824",54,4.3,MSc Grimaldo Lopes | + 45.000 alunos de Oliveira,"46,770",165,4.4,0,0,0,4.6
29,はじめてのベイズ統計【PyMC3+Colab】-確率･統計の基礎からベイズ推定のPython実装まで-,327,14,1,1.2023,Japanese,1,1,329.90,1,6,35,4h 47m,我妻 幸長 Yukinaga Azuma,"108,366",30,4.2,null,null,null,null,0,0,0,4.5
30,【한글자막】 Python 을 사용한 데이터 시각화,220,13,4,12.2021,Korean,1,1,299.90,1,7,49,4h 27m,Jordan Sauchuk,"259,863",7,4.4,Ligency Team,"2,231,042",104,4.6,1,0,0,4.9
31,Surpac Sıfırdan Cevher Modelleme/ Ore Modelling using Surpac,33,12,1,11.2021,Turkish,1,0,349.90,0,1,13,2h 0m,Halil Şahin,33,1,4.3,null,null,null,null,0,0,0,4.3
32,Álgebra Linear com R para Machine Learning e Modelagens,97,13,1,1.2022,Portuguese,1,1,69.90,1,7,57,12h 57m,Luciano Galdino,"6,490",15,4.7,null,null,null,null,0,0,0,4.9
