,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
0,텐서플로로 배우는 딥러닝,https://www.udemy.com/course/tensorflow_hihrd/,4,0,1,11.2022,Korean,1,0,349.9,1,10,69,5h 30m,현대C&R 하이인재원,126,56,3.7,null,null,null,null,0,0,0,0
1,Lógica de Programação para Data Science,https://www.udemy.com/course/logica-de-programacao-data-science/,0,0,1,8.2022,Portuguese,1,1,69.9,1,10,37,9h 4m,Raynner Dourado Matos,--,1,--,null,null,null,null,1,0,0,0
2,Swin Transformer实战实例分割：训练自己的数据集,https://www.udemy.com/course/swint-seg/,4,0,1,1.2022,Simplified Chinese,2,0,105.9,1,5,19,3h 32m,Frank BAI,190,23,4.4,null,null,null,null,0,0,0,0
3,Automação de documentos com Docassemble,https://www.udemy.com/course/automacao-de-documentos-com-docassemble/,0,0,1,10.2022,Portuguese,1,0,69.9,0,3,14,1h 35m,Thiago Diniz,--,1,--,null,null,null,null,0,0,0,0
4,MLops + ORANGE completo: modelos machine learning,https://www.udemy.com/course/mlops-orange-completo-modelos-machine-learning/,40,0,2,6.2022,Portuguese,1,1,123.9,1,7,45,8h 45m,MSc Grimaldo Lopes | + 45.000 alunos de Oliveira,"47,583",166,4.4,Fernando Amaral,"171,180",56,4.6,0,0,0,0
5,Основы генетических алгоритмов,https://www.udemy.com/course/drv_genalg/,7,0,1,12.2021,Russian,1,0,69.9,1,2,11,1h 49m,Roman Dushkin,"1,013",25,4,null,null,null,null,0,0,0,0
6,Основы генетических алгоритмов,https://www.udemy.com/course/drv_genalg/,7,0,1,12.2021,Russian,1,0,69.9,1,2,11,1h 49m,Roman Dushkin,"1,013",25,4,null,null,null,null,0,0,0,0
7,Data Science con Python - Elaborare e Visualizzare Dati,https://www.udemy.com/course/elaborazione-e-visualizzazione-dei-dati-con-python/,4,0,1,11.2022,Italian,1,0,89.9,1,13,63,2h 56m,Michael Saccol,680,7,3.7,null,null,null,null,0,0,0,0
8,【デジタル社会の「読み・書き・そろばん」】AI・データサイエンストレンド2022,https://www.udemy.com/course/ai2022-trend/,0,0,1,3.2022,Japanese,1,0,105.9,1,1,10,41m total,三谷 慶一郎,346,5,4.1,null,null,null,null,0,0,0,0
9,Complete Machine Learning Basics in Hindi,https://www.udemy.com/course/complete-machine-learning-basics-in-hindi/,0,0,1,12.2022,Hindi,1,0,69.9,1,5,8,1h 1m,Hriday Sen,--,1,--,null,null,null,null,0,0,0,0
