,Unnamed: 0,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
0,0,Machine Learning A-Z™: Python & R in Data Science [2023],915027,164842,4,1.2023,1,1,13,399.9,1,46,382,42.55,Kirill Eremenko,2282141.0,59,4.5,1,1651425.0,42.0,4.5,1,0,0,4.5
1,1,Python for Data Science and Machine Learning Bootcamp,608897,125319,1,5.202,1,1,14,349.9,1,27,165,24.9,Jose Portilla,3197878.0,58,4.6,0,0.0,0.0,0.0,0,0,0,4.6
2,2,The Data Science Course 2023: Complete Data Science Bootcamp,561024,117647,2,12.2022,1,1,15,399.9,1,65,517,31.85,365 Careers,2202206.0,91,4.6,1,715500.0,3.0,4.6,1,0,0,4.6
3,3,R Programming A-Z™: R For Data Science With Real Exercises!,247180,48969,3,1.2023,1,1,15,349.9,1,8,78,10.583333333333334,Kirill Eremenko,2282141.0,59,4.5,1,2286300.0,148.0,4.6,1,0,0,4.6
4,4,Deep Learning A-Z™: Hands-On Artificial Neural Networks,347100,41805,4,1.2023,1,1,12,429.9,1,26,168,22.533333333333335,Kirill Eremenko,2282141.0,59,4.5,1,1651425.0,42.0,4.5,0,0,0,4.5
5,5,Statistics for Data Science and Business Analysis,163880,35555,2,12.2022,1,1,16,399.9,1,18,92,4.85,365 Careers,2202206.0,91,4.6,1,715500.0,3.0,4.6,1,0,0,4.6
6,6,Data Science A-Z™: Real-Life Data Science Exercises Included,209694,32678,3,1.2023,1,1,9,349.9,1,28,216,21.2,Kirill Eremenko,2282141.0,59,4.5,1,2286300.0,148.0,4.6,1,0,0,4.5
7,7,"Machine Learning, Data Science and Deep Learning with Python",171404,28334,3,9.2022,1,1,11,89.9,1,13,116,15.6,Sundog Education by Frank Kane,676991.0,33,4.6,1,626100.0,26.0,4.6,0,0,0,4.5
8,8,Python A-Z™: Python For Data Science With Real Exercises!,150372,25409,3,1.2023,1,1,7,349.9,1,8,71,11.083333333333334,Kirill Eremenko,2282141.0,59,4.5,1,2286300.0,148.0,4.6,1,0,0,4.6
9,9,Artificial Intelligence A-Z™: Learn How To Build An AI,192622,22179,6,1.2023,1,1,16,399.9,1,19,124,16.95,Hadelin de Ponteves,1651425.0,42,4.5,1,2282141.0,59.0,4.5,1,0,0,4.4
10,10,Spark and Python for Big Data with PySpark,111303,20537,1,5.202,1,1,16,349.9,1,18,67,10.583333333333334,Jose Portilla,3197878.0,58,4.6,0,0.0,0.0,0.0,0,0,0,4.5
11,11,Data Analysis with Pandas and Python,176164,18564,1,1.2023,1,1,25,69.9,1,15,207,22.0,Boris Paskhaver,347897.0,7,4.7,0,0.0,0.0,0.0,1,1,0,4.6
12,12,Complete Guide to TensorFlow for Deep Learning with Python,93512,16582,1,4.202,1,1,12,429.9,1,13,96,14.15,Jose Portilla,3197878.0,58,4.6,0,0.0,0.0,0.0,0,0,0,4.2
13,13,Apache Spark with Scala - Hands On with Big Data!,88789,16419,3,9.2022,1,1,10,69.9,1,10,69,8.966666666666667,Sundog Education by Frank Kane,676991.0,33,4.6,1,626100.0,26.0,4.6,1,0,0,4.6
14,14,Data Science and Machine Learning Bootcamp with R,87001,15666,1,12.202,1,1,15,349.9,1,35,128,17.75,Jose Portilla,3197878.0,58,4.6,0,0.0,0.0,0.0,1,0,0,4.6
15,15,Taming Big Data with Apache Spark and Python - Hands On!,85431,14173,3,10.2022,1,1,11,89.9,1,8,66,6.95,Sundog Education by Frank Kane,676991.0,33,4.6,1,626100.0,26.0,4.6,0,0,0,4.5
16,16,Complete Machine Learning & Data Science Bootcamp 2023,84557,13892,3,1.2023,1,1,14,499.9,1,21,378,43.8,Andrei Neagoie,954385.0,26,4.6,1,120393.0,3.0,4.7,0,1,0,4.6
